"ringnr","O_HOM","E_HOM","N_SITES","F_hat"
"8681037",43931,43280,64712,-0.00964631979054291
"8681038",45676,43310,64744,0.0706036802094571
"8681040",44332,43340,64808,0.00609368020945709
"8681041",46574,43340,64801,0.110803680209457
"8681042",44233,43350,64812,0.00134368020945709
"8681044",46824,43340,64804,0.122303680209457
"8681052",43950,43380,64859,-0.0133563197905429
"8681053",44430,43380,64859,0.00905368020945709
"8681054",44393,43380,64857,0.00733368020945709
"8681055",44125,43320,64779,-0.00253631979054291
"8681056",44140,42940,64202,0.0163736802094571
"8681057",44379,43310,64759,0.00983368020945709
"8681058",44460,43350,64819,0.0116536802094571
"8681059",47301,43250,64665,0.149203680209457
"8681060",44133,43310,64746,-0.00133631979054291
"8681062",44435,43240,64654,0.0158636802094571
"8681063",43819,43270,64701,-0.0143963197905429
"8681065",43943,43320,64770,-0.0108263197905429
"8681066",44010,43260,64685,-0.00506631979054291
"8681067",44111,43320,64762,-0.00279631979054291
"8681068",44345,43300,64744,0.00878368020945709
"8681070",44382,43340,64790,0.00888368020945709
"8681071",43969,43270,64692,-0.00712631979054291
"8681073",44109,43360,64829,-0.00496631979054291
"8681074",43713,43160,64519,-0.0138663197905429
"8681075",44334,43320,64764,0.00741368020945709
"8681076",44302,43280,64708,0.00787368020945709
"8681077",44000,43360,64825,-0.0100363197905429
"8681079",44328,43320,64768,0.00705368020945709
"8681081",44044,43370,64839,-0.00836631979054291
"8681095",43831,43370,64839,-0.0182163197905429
"8681097",44681,43330,64791,0.0228936802094571
"8681098",44094,43340,64795,-0.00467631979054291
"8681132",44115,43340,64803,-0.00385631979054291
"8681135",45166,43340,64803,0.0451536802094571
"8681138",44367,43330,64779,0.00860368020945709
"8681069",42849,42550,63545,-0.0257463197905429
"8681169",44567,43370,64847,0.0158036802094571
"8681175",44569,43320,64769,0.0182736802094571
"8681181",44665,43310,64749,0.0234736802094571
"8681183",46706,43340,64805,0.116703680209457
"8681184",45799,43360,64822,0.0737036802094571
"8681190",46762,43360,64823,0.118803680209457
"8681200",44801,43360,64826,0.0272736802094571
"8681201",45003,43330,64777,0.0382636802094571
"8681213",44073,43220,64632,-0.000236319790542908
"8681218",43902,43350,64813,-0.0140363197905429
"8681236",44279,43310,64761,0.00515368020945709
"8681237",44420,43230,64634,0.0158336802094571
"8681240",44122,43240,64635,0.00141368020945709
"8681247",45651,43220,64618,0.0739036802094571
"8681248",44255,42940,64219,0.0220536802094571
"8681249",44548,43330,64782,0.0168636802094571
"8681251",44358,43380,64861,0.00553368020945709
"8681254",44416,43380,64864,0.00814368020945709
"8681258",45594,43370,64847,0.0636036802094571
"8681259",44034,43360,64824,-0.00831631979054291
"8681260",44374,43370,64848,0.00672368020945709
"8681261",44219,43380,64854,-0.000746319790542911
"8681268",44098,43310,64751,-0.00313631979054291
"8681287",44339,43280,64716,0.00952368020945709
"8681290",44221,43240,64644,0.00615368020945709
"8681291",43705,43280,64708,-0.0199863197905429
"8681292",43467,43220,64620,-0.0283163197905429
"8681300",44909,43330,64788,0.0335636802094571
"8681308",41025,42000,62629,-0.0869763197905429
"8681309",44442,43350,64812,0.0109736802094571
"8681317",44044,43360,64822,-0.00788631979054291
"8681324",43946,43290,64721,-0.00911631979054291
"8681331",43796,43180,64561,-0.0112663197905429
"8681335",49106,43180,64569,0.237103680209457
"8681336",47727,43200,64594,0.171703680209457
"8681355",44084,43360,64831,-0.00635631979054291
"8681356",44241,43320,64769,0.00295368020945709
"8681361",42815,42430,63466,-0.0217563197905429
"8681370",44028,43350,64811,-0.00835631979054291
"8681371",44310,43330,64789,0.00564368020945709
"8681374",46641,43350,64817,0.113403680209457
"8681384",44502,43300,64736,0.0163236802094571
"8681385",44667,43240,64647,0.0268636802094571
"8681393",44211,43220,64622,0.00619368020945709
"8681396",44082,43330,64784,-0.00499631979054291
"8681397",44429,43370,64843,0.00947368020945709
"8681403",43996,43360,64835,-0.0104763197905429
"8681409",44686,43350,64811,0.0223836802094571
"8681414",46867,43320,64765,0.125503680209457
"8681415",48277,43280,64713,0.193103680209457
"8681419",44073,43360,64820,-0.00650631979054291
"8681420",46200,43330,64793,0.0937036802094571
"8681422",46185,43310,64747,0.0944036802094571
"8681423",46269,43120,64476,0.107603680209457
"8681436",43972,43320,64762,-0.00933631979054291
"8681454",43765,42960,64193,-0.00186631979054291
"8681462",43699,43330,64775,-0.0225663197905429
"8681464",48316,43200,64589,0.199303680209457
"8681466",43779,43200,64585,-0.0126063197905429
"8681469",44026,43330,64784,-0.00746631979054291
"8681472",43158,43270,64694,-0.0451273197905429
"8681473",44434,43170,64536,0.0194736802094571
"8681476",44361,43350,64809,0.00728368020945709
"8681477",45265,43290,64726,0.0521336802094571
"8681479",44050,42940,64214,0.0120736802094571
"8681485",44066,43240,64634,-0.00107631979054291
"8681486",44197,43360,64826,-0.000846319790542907
"8681496",44278,43350,64807,0.00352368020945709
"8681500",44741,43350,64804,0.0251436802094571
"8730413",44184,43360,64822,-0.00134631979054291
"8730417",43521,42680,63814,3.68020945708952e-06
"8730418",44144,43380,64860,-0.00440631979054291
"8730421",44249,43360,64820,0.00166368020945709
"8730436",44009,43290,64724,-0.00644631979054291
"8730437",44388,43100,64433,0.0206936802094571
"8730439",44384,43330,64790,0.00910368020945709
"8730442",44227,43350,64809,0.00118368020945709
"8730443",43758,43340,64796,-0.0204163197905429
"8730444",44075,43270,64687,-0.00214631979054291
"8730445",44743,43250,64671,0.0296836802094571
"8730447",42587,42550,63635,-0.0382543197905429
"8730448",44951,43340,64797,0.0352436802094571
"8730451",43931,43360,64826,-0.0132163197905429
"8730453",44217,43280,64706,0.00402368020945709
"8730454",45269,43300,64741,0.0519236802094571
"8730458",44268,43340,64799,0.00335368020945709
"8730459",43828,43260,64663,-0.0131563197905429
"8730460",44257,43300,64743,0.00453368020945709
"8730461",44286,43360,64822,0.00340368020945709
"8730462",43119,43230,64631,-0.0449373197905429
"8730465",43910,43300,64731,-0.0112163197905429
"8730486",44456,43330,64784,0.0125136802094571
"8730493",44455,43380,64851,0.0103636802094571
"8730496",44446,43370,64836,0.0103436802094571
"8730497",44265,43130,64473,0.0134136802094571
"8730498",44923,43370,64837,0.0326336802094571
"8730503",44012,43360,64826,-0.00946631979054291
"8730506",44682,43180,64552,0.0304336802094571
"8730509",45539,43320,64765,0.0638036802094571
"8730517",43976,43370,64846,-0.0117063197905429
"8730518",45669,42550,63597,0.108203680209457
"8730535",43577,43310,64744,-0.0273063197905429
"8730537",44362,43350,64819,0.00705368020945709
"8730543",44165,43330,64780,-0.000826319790542908
"8730545",43535,43020,64319,-0.0158863197905429
"8730547",45313,43210,64610,0.0582036802094571
"8730548",44567,43060,64387,0.0307336802094571
"8730551",44298,43330,64791,0.00504368020945709
"8730552",43857,43300,64748,-0.0141263197905429
"8730553",44214,43340,64803,0.000643680209457091
"8730554",44930,43180,64549,0.0421836802094571
"8730558",43943,43150,64518,-0.00295631979054291
"8730563",44271,43050,64340,0.0175936802094571
"8730564",44493,43330,64782,0.0142736802094571
"8730565",44170,43310,64762,6.3680209457094e-05
"8730584",43714,43030,64332,-0.00792631979054291
"8730902",43771,43320,64771,-0.0188163197905429
"8730922",45323,43290,64721,0.0550036802094571
"8730927",44282,43340,64799,0.00411368020945709
"8730928",45199,43300,64745,0.0485036802094571
"8730931",43532,43060,64381,-0.0177963197905429
"8730932",43910,43270,64692,-0.00989631979054291
"8730938",45780,43330,64782,0.0744036802094571
"8730943",44426,43290,64724,0.0130736802094571
"8730945",45817,43300,64738,0.0774036802094571
"8730951",44924,43260,64668,0.0379936802094571
"8730952",43303,43250,64652,-0.0371903197905429
"8730953",44332,43240,64653,0.0109336802094571
"8730957",45492,43340,64789,0.0606036802094571
