"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8L89245",-0.249613915632341,4,31.3,45327,43340,64797,0.0527647329575249,"28"
"8L89254",0.702756003987097,3,32.7333333333333,44186,42680,63827,0.0313847329575249,"26"
"8L89256",1.0080787859954,3,32.8333333333333,44580,43040,64365,0.0322847329575249,"26"
"8L89259",0.394412236339181,1,32.5,43665,43170,64549,-0.0165052670424751,"26"
"8L89265",-0.539235692558337,1,30,43942,43260,64679,-0.00822526704247509,"27"
"8L89266",-0.268414491681055,1,31.4,43775,43300,64728,-0.0175552670424751,"27"
"8L89268",0.747340357899159,1,32.8,43934,43360,64836,-0.0132952670424751,"27"
"8L89269",-0.175811342857967,2,31.05,43826,43350,64804,-0.0174752670424751,"27"
"8L89271",-0.194958987393748,1,31.6,44312,43360,64829,0.00443473295752491,"27"
"8L89273",0.891374515420428,1,33.4,45691,43340,64797,0.0697347329575249,"27"
"8L89274",-0.76811014386732,3,30.3666666666667,44246,43200,64581,0.00919473295752491,"27"
"8L89276",-1.96690724441974,3,29.1666666666667,43990,43350,64808,-0.00989526704247509,"27"
"8L89277",0.614487240483174,1,33.4,44313,43350,64803,0.00524473295752491,"27"
"8L89282",-0.484811681190319,1,30.5,44392,43370,64847,0.00761473295752491,"20"
"8L89296",0.0236627566286071,3,31.7333333333333,45018,43050,64372,0.0525447329575249,"26"
"8L89298",1.55354690843463,3,33.6333333333333,45229,43340,64794,0.0483847329575249,"38"
"8L89299",0.783663028709936,8,32.4625,46594,43350,64815,0.111334732957525,"38"
"8L89312",0.509063372680077,1,32.9,44099,43300,64733,-0.00239526704247509,"35"
"8L89314",-0.269316832788706,2,31.05,45014,43360,64829,0.0370647329575249,"35"
"8L89324",1.91434147801619,1,35.3,44692,43360,64829,0.0221247329575249,"27"
"8L89326",2.69451161491954,2,35.75,43852,43280,64706,-0.0131352670424751,"38"
"8L89334",-0.0160813112797602,4,31.825,43717,43350,64811,-0.0228552670424751,"28"
"8L89335",1.82571489689537,2,35.4,44491,43280,64702,0.0167647329575249,"28"
"8L89337",0.175587658087713,3,32.0333333333333,43163,42650,63723,-0.0156552670424751,"27"
"8L89352",-0.0166826764746043,3,31.7,42610,42150,62994,-0.0176452670424751,"27"
"8L89354",-0.566635787956591,1,30.6,40967,41540,61862,-0.0680052670424751,"27"
"8L89355",0.00342586877881398,1,31.3,43819,43320,64764,-0.0164552670424751,"27"
"8L89358",0.0959786761388091,1,31.8,43545,42380,63357,0.0157547329575249,"26"
"8L89363",-0.500004136714919,1,31.4,43423,43110,64449,-0.0250552670424751,"20"
"8L89365",1.32936927330999,1,34.4,44235,43350,64810,0.00133473295752491,"27"
"8L89366",0.611162991090591,5,32.58,43657,43330,64776,-0.0244952670424751,"27"
"8L89371",-2.35582766073858,2,27.6,44237,43370,64843,0.000454732957524913,"27"
"8L89372",-1.48269674148295,10,30.11,44076,43370,64833,-0.00678526704247509,"27"
"8L89374",1.11918639269823,1,33.6,44201,43360,64827,-0.000645267042475091,"27"
"8L89376",1.8234342734831,2,34.65,43850,43380,64849,-0.0177852670424751,"27"
"8L89377",0.481842872287191,8,32.4875,44058,43360,64822,-0.00729526704247509,"27"
"8L89379",-0.822450218078565,2,30.55,44319,43340,64793,0.00581473295752491,"27"
"8L89380",-0.408803448879173,1,30.5,44166,43360,64826,-0.00224526704247509,"27"
"8L89384",-2.04432465849441,3,28.8333333333333,43733,43260,64671,-0.0176852670424751,"27"
"8L89386",0.438809506140653,1,32.5,43781,43360,64825,-0.0202252670424751,"27"
"8L89387",-0.419154727745321,6,31.7333333333333,41941,42220,62935,-0.0533352670424751,"27"
"8L89388",1.11072636541351,9,32.9777777777778,43925,43320,64765,-0.0118152670424751,"27"
"8L89389",-0.303113965706737,4,31.15,44410,43320,64763,0.0109547329575249,"27"
"8L89391",-1.46605247571984,2,29.6,44341,43180,64570,0.0142447329575249,"26"
"8L89394",0.281026635389638,3,32.1666666666667,43361,42760,63945,-0.0114652670424751,"26"
"8L89395",-0.498789965180971,3,31.2666666666667,44012,43120,64475,0.00187473295752491,"26"
"8L89399",-3.65355023625004,8,27.9125,44399,43300,64743,0.0112247329575249,"28"
"8L89412",0.700795897375133,2,32.1,44458,43370,64840,0.0108347329575249,"27"
"8L89423",-0.047009699983819,1,31,46938,43330,64788,0.128134732957525,"28"
"8L89430",-0.381169396017612,2,30.65,41544,41880,62392,-0.0561352670424751,"27"
"8L89432",0.822757555752194,4,32.725,44054,43270,64687,-0.00331526704247509,"27"
"8L89434",-0.421560265028491,2,30.65,44433,43350,64812,0.0105947329575249,"27"
"8L89436",1.20081882787019,1,33.8,44937,43340,64801,0.0344147329575249,"27"
"8L89441",0.281566351181743,3,31.7666666666667,44666,43060,64386,0.0355147329575249,"26"
"8L89457",0.837693001622322,1,33.4,44248,43360,64837,0.00131473295752491,"38"
"8L89460",-0.991311511469557,2,29.5,46490,42680,63803,0.140334732957525,"38"
"8L89466",1.76283794871948,3,34.1666666666667,44282,43310,64759,0.00532473295752491,"28"
"8L89467",0.835967143761046,1,33.6,43923,43310,64753,-0.0113652670424751,"28"
"8L89470",0.303420014286828,1,32.5,43662,43180,64557,-0.0172052670424751,"28"
"8L89471",-1.10609051440188,8,31.05,43170,43120,64441,-0.0374262670424751,"28"
"8L89486",1.54635801980966,4,33.05,43805,43310,64755,-0.0168352670424751,"60"
"8L89487",2.48557416667939,2,34.95,43236,43340,64796,-0.0446742670424751,"60"
