Running from this directory: /cluster/work/simennes/Project_thesis/Project_thesis
Name of job: ind_ens_no
ID of job: 23157421
The job was run on these nodes: idun-06-06
[I 2025-10-27 23:51:26,749] Trial 31 finished with value: 0.1109233384442245 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.20011395426570006, 'batch_norm': True, 'lr': 0.0007153389760584873, 'weight_decay': 0.00047006511725110946, 'epochs': 186, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:27,777] Trial 32 finished with value: 0.09433832731347155 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.20140909899373344, 'batch_norm': True, 'lr': 0.0005388560200940643, 'weight_decay': 0.0004659168022783608, 'epochs': 188, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:28,715] Trial 33 finished with value: 0.09067821092018807 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.2396975457736134, 'batch_norm': True, 'lr': 0.0009736901266995423, 'weight_decay': 0.0001667826995317553, 'epochs': 157, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:29,722] Trial 34 finished with value: 0.061884964463898906 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.3635606275082966, 'batch_norm': False, 'lr': 0.0002636387678944316, 'weight_decay': 0.0004421036191235601, 'epochs': 191, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:30,868] Trial 35 finished with value: 0.06763996163899227 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128, 64]', 'dropout': 0.33536343580578765, 'batch_norm': True, 'lr': 0.0004279236628279342, 'weight_decay': 0.0002085474648352413, 'epochs': 123, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:32,310] Trial 36 finished with value: 0.07784865194709273 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.2674950315522132, 'batch_norm': True, 'lr': 0.0005909843411192995, 'weight_decay': 5.034868054535383e-05, 'epochs': 162, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:33,398] Trial 37 finished with value: 0.010969386679890046 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.19261254291339738, 'batch_norm': False, 'lr': 0.0006873153359540165, 'weight_decay': 2.6245026393294506e-05, 'epochs': 230, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:34,492] Trial 38 finished with value: 0.0009953448596323575 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 256]', 'dropout': 0.2891723772650435, 'batch_norm': True, 'lr': 5.217512374335195e-06, 'weight_decay': 0.00010037498672875536, 'epochs': 81, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:36,137] Trial 39 finished with value: 0.07893497588551797 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 128]', 'dropout': 0.22153410202709028, 'batch_norm': True, 'lr': 0.00026170463567215714, 'weight_decay': 4.776282286501531e-06, 'epochs': 198, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:37,179] Trial 40 finished with value: 0.0588768440442489 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.3885518341039618, 'batch_norm': False, 'lr': 0.00014799015208185928, 'weight_decay': 0.0005475603615360944, 'epochs': 217, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:38,657] Trial 41 finished with value: 0.08595146333977466 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.13856989171948841, 'batch_norm': True, 'lr': 0.0007164065138958674, 'weight_decay': 0.00026131098155691794, 'epochs': 281, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:40,169] Trial 42 finished with value: 0.10232600837883793 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.1745735174719657, 'batch_norm': True, 'lr': 0.0007051214178443037, 'weight_decay': 1.3580716499860138e-05, 'epochs': 178, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
