phenotype,population,model,fold,fold_label,mode,cv_strategy,json_path,test_correlation,metric__mean_inner_r,model_type,hidden_dims,dropout,batch_norm,lr,weight_decay,epochs,loss,optimizer,graph_mode,cutoff,grm_norm,self_loops,use_snp_selection,num_snps,sage_aggr,sage_normalize,sage_project,knn_k,weighted_edges,symmetrize_mode,source
body_mass,loio,gcn_inductive_results,4,5,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.10289630500778624,0.219196451321577,gcn,"(512, 128)",0.35606051022646695,False,7.125994799516542e-05,0.00025326533100295255,107.0,mse,adam,cutoff,0.8116833558416683,cosine_then_gcn,True,False,,,,,,,,
body_mass,loio,gcn_inductive_results,5,6,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.15730324083226035,0.19840266651586896,gcn,"(512, 64)",0.1569528308378857,False,7.692801077634902e-05,6.708020415141962e-07,135.0,mse,adam,cutoff,0.8253559133882249,none,True,False,,,,,,,,
body_mass,loio,gcn_inductive_results,6,7,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.27065127440942033,0.21483458245464337,gcn,"(512, 64)",0.5759420430000035,False,4.211879416051111e-05,4.469227150038404e-06,228.0,mae,adam,cutoff,0.8963459759413491,cosine,True,False,,,,,,,,
body_mass,loio,gcn_inductive_results,7,8,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,-0.004816047506538637,0.24930153245294404,gcn,"(512, 64)",0.53218009653703,True,0.00031002139265335433,3.7182950135943547e-07,142.0,mae,adam,cutoff,0.6063890769451763,gcn,False,False,,,,,,,,
body_mass,loio,gcn_inductive_results,8,9,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.31952655102017685,0.19811573873805025,gcn,"(256, 128)",0.2577686143184498,True,8.831478370095246e-05,2.123796325605602e-05,154.0,mae,adam,cutoff,0.8456475918971652,cosine_then_gcn,True,False,,,,,,,,
body_mass,loio,gcn_inductive_results,9,10,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.08471854101173225,0.22515296576297641,gcn,"(512, 128)",0.5412076714467521,True,7.94972923698525e-05,1.6295998898200701e-06,234.0,mae,adam,cutoff,0.777774569531126,cosine,True,False,,,,,,,,
body_mass,loio,gcn_inductive_results,10,11,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.2017239770592891,0.21392015492952354,gcn,"(512, 128)",0.15452636332045092,False,0.00010854591023117004,7.236133130918571e-05,107.0,mse,adam,cutoff,0.5741906219777104,none,False,False,,,,,,,,
body_mass,loio,gcn_results,0,1,transductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_results.json,0.25186158493832417,0.2002528212832284,gcn,"(256, 128)",0.43992409483000117,False,0.00012673674065889542,5.416485882805271e-06,292.0,mse,adam,cutoff,0.8221271868755355,gcn,False,False,,,,,,,,
body_mass,loio,gcn_results,1,2,transductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_results.json,0.20594452243791372,0.1938599234401745,gcn,"(512, 256)",0.45709658386839463,False,3.475332789461136e-05,4.1060179326385646e-07,153.0,mae,adam,knn,,,,True,8996.0,,,,7.0,False,union,grm
body_mass,loio,gcn_results,2,3,transductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_results.json,0.1615350059905673,0.21958934538840852,gcn,"(512, 256)",0.4897148650800657,False,4.865240160227505e-05,2.8251006099275373e-06,176.0,mse,adam,cutoff,0.7233110681860087,gcn,False,True,54397.0,,,,,,,
